productID,productName,productPrice,productRating,productDiscount,productExp,productWeight,productSeller,productBrand,manufacturedAddress,productCategory,productSubCategory
49,Classic Roasted and Salted Pistachios by Flipkart Grocery,400,4.2,40,05-08-2022,200 g,SuperComNet,Classic,"22,Unit-1, Subbaiah INDL Estate,Hulimavu Main Road,Bangalore,Karnataka,India-560076",Essential,Dry Fruits
50,Classic Apricots by Flipkart Grocery,300,3.9,43,06-07-2022,200 g,SuperComNet,Classic,"22,Unit-1, Subbaiah INDL Estate,Hulimavu Main Road,Bangalore,Karnataka,India-560076",Essential,Dry Fruits
51,Uttam Sugar Sulphurfree Sugar,65,4.4,21,20-03-2024,1 Kg,SuperComNet,Uttam Sugar,"Village Libberheri, Tehsil, Roorkee,District",Essential,"Sugar,Jaggery&Salt"
52,Sugarlite 50% Less Calories Sugar,99,4.3,35,20-11-2023,500 g,SuperComNet,Sugarlite,"Integrated Industrial Estate Plot no 4,sec 2 pant Nagar Distt Udham singh nagar ,Uttarakhand 263146",Essential,"Sugar,Jaggery&Salt"
53,Flipkart Supermart Select Bold Sugar,450,4.4,42,07-05-2023,5 Kg,SuperComNet,Flipkart Supermart Select,"Survey No-22, Unit-1, Subbaiah INDL Estate, Begur Hobali, Hulimavu Main Road , Bannerughatta Road",Essential,"Sugar,Jaggery&Salt"
54,Organic Tattva Brown Sugar,75,4.1,8,23-03-2023,500 g,SuperComNet,Organic Tattva,"Mehrotra Consumer Products Pvt. Ltd. 26G, Sector 31, Ecotech. Greater Noida 201308, UP, INDIA",Essential,"Sugar,Jaggery&Salt"
55,Tata Iodized Salt,25,4.6,8,20-03-2024,1 Kg,SuperComNet,Tata,"Bombay House, 24 Homi Mody streat, Fort Mumbai 400001",Essential,"Sugar,Jaggery&Salt"
56,Tata Lite Iodized Salt,45,4.6,13,20-03-2024,1 Kg,SuperComNet,Tata,"Bombay House, 24 Homi Mody streat, Fort Mumbai 400001",Essential,"Sugar,Jaggery&Salt"
57,Tata Superlite Iodized Salt,60,3.8,1,23-03-2023,1 Kg,SuperComNet,Tata,"Bombay House, 24 Homi Mody streat, Fort Mumbai 400001",Essential,"Sugar,Jaggery&Salt"
58,parth Kolhapur Block Jaggery,90,4,1,22-09-2022,950 g,SuperComNet,parth,"Block No. 165, Block No -165,Shri Shanu Market Yard,Kolhapur,Maharashtra",Essential,"Sugar,Jaggery&Salt"
59,Organic Tattva Powder Jaggery,80,4.1,16,18-02-2023,500 g,SuperComNet,Organic Tattva,"Mehrota Consumer Products Pvt .Ltd , 26G,Sector 31,Greater Noida - Ecotech 1, 201308",Essential,"Sugar,Jaggery&Salt"
60,safe harvest Powder Jaggery,75,4,16,12-02-2023,500 g,SuperComNet,safe harvest,"6,Sy no.28,Yashodara Nagar Colony,Bairamalguda Village,Saroor Nagar Mandal,Rangareddy Dist, Hyderabad-500079,Telangana",Essential,"Sugar,Jaggery&Salt"
61,BRITANNIA Winkin Cow Flavoured Milk,40,4.5,40,24-01-2023,180 ml,SuperComNet,BRITANNIA,"5/1A Hungerford Street, Kolkata Kolkata WB 700017 IN",Dairy And Eggs,Dairy
62,Amul Fresh Pure Cream,205,4.1,0,05-08-2022,1 L,SuperComNet,Amul,"Kaira District Co-operative Milk Producers' Union Limited, Amul Dairy, ANAND",Dairy And Eggs,Dairy
63,OVO Farm Fresh Premium Hen White Eggs,259,3.8,11,04-06-2022,20 units,SuperComNet,OVO Farm Fresh,"KHATA NO.133/155, JAMSAR,CHATAMAKHAMA, BALANGIR, Balangir,Orissa,767065",Dairy And Eggs,Eggs
64,Fresh Laid Hen White Eggs,270,5,0,04-06-2022,30 units,SuperComNet,Fresh Laid,"KHATA NO.133/155, JAMSAR,CHATAMAKHAMA, BALANGIR, Balangir,Orissa,767065",Dairy And Eggs,Eggs
65,Lay's Spanish Tomato Tango Chips,20,4.2,10,01-08-2022,52 g,SuperComNet,Lay's,"N2:C-5, MIDC Ranjangaon, Taluka Shirur, Pune, Pin-412220, Maharashtra.",Snacks And Beverages,Snacks
66,KURKURE Puffcorn Yummy Cheese,20,4.3,0,20-08-2022,55 g,SuperComNet,KURKURE,"VS-Vaani Snacks Pvt. Ltd.,E-367, Phase-1, RIICO Industrial Area, Bhiwadi - 301019, Distt. Alwar, Rajasthan, India.",Snacks And Beverages,Snacks
